"step","time","part","epoch","loss","lr","segmentation_miou","segmentation_dice"
22200,"2024-08-14 02:42:49.849562","train",6,0.12840533256530762,3.904915644297194e-05,"",""
22320,"2024-08-14 02:44:13.984827","train",6,0.13974851369857788,3.83147001918102e-05,"",""
22440,"2024-08-14 02:45:38.157172","train",6,0.13531503081321716,3.758206067168251e-05,"",""
22560,"2024-08-14 02:47:02.261683","train",6,0.12873166799545288,3.685143697210691e-05,"",""
22680,"2024-08-14 02:48:26.256508","train",6,0.11700153350830078,3.6123027634816744e-05,"",""
22800,"2024-08-14 02:49:50.215556","train",6,0.12064918130636215,3.5397030599808305e-05,"",""
22869,"2024-08-14 03:21:07.902946","train",6,"","",0.5725467358860552,0.7276634935906512
22869,"2024-08-14 03:24:31.936540","val",6,"","",0.5736086076221933,0.7284952379377402
22920,"2024-08-14 03:25:09.993894","train",7,0.11427827924489975,3.4673643151552135e-05,"",""
23040,"2024-08-14 03:26:33.808821","train",7,0.13769671320915222,3.3953061865382295e-05,"",""
23160,"2024-08-14 03:27:58.017003","train",7,0.18386238813400269,3.323548255407853e-05,"",""
23280,"2024-08-14 03:29:22.255398","train",7,0.12113537639379501,3.252110021465553e-05,"",""
23400,"2024-08-14 03:30:46.413850","train",7,0.11931174248456955,3.1810108975373845e-05,"",""
23520,"2024-08-14 03:32:10.709966","train",7,0.12704035639762878,3.110270204298699e-05,"",""
23640,"2024-08-14 03:33:34.879857","train",7,0.12793570756912231,3.0399071650238844e-05,"",""
23760,"2024-08-14 03:34:59.096656","train",7,0.1437256932258606,2.9699409003625826e-05,"",""
23880,"2024-08-14 03:36:23.286724","train",7,0.12466930598020554,2.9003904231437895e-05,"",""
24000,"2024-08-14 03:37:47.501053","train",7,0.1351632922887802,2.8312746332092552e-05,"",""
24120,"2024-08-14 03:39:11.706639","train",7,0.1384211778640747,2.762612312277589e-05,"",""
24240,"2024-08-14 03:40:35.870860","train",7,0.14636829495429993,2.694422118840457e-05,"",""
24360,"2024-08-14 03:42:00.084036","train",7,0.12300511449575424,2.6267225830922797e-05,"",""
24480,"2024-08-14 03:43:24.273432","train",7,0.17206180095672607,2.559532101894781e-05,"",""
