"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
2720,"2024-08-09 14:13:50.796655","train",2,0.6643277406692505,4.841651869080902e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2760,"2024-08-09 14:14:48.496375","train",2,0.5234946012496948,4.9305113003857834e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2800,"2024-08-09 14:15:51.957464","train",2,0.5152750015258789,5.018324174257503e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2840,"2024-08-09 14:16:52.598901","train",2,0.5021247863769531,5.1050192776692146e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2880,"2024-08-09 14:17:50.597311","train",2,0.5037651062011719,5.1905263040650065e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2920,"2024-08-09 14:18:47.615163","train",2,0.4345168173313141,5.274775910375948e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2960,"2024-08-09 14:19:45.992860","train",2,0.48085811734199524,5.357699773254771e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3000,"2024-08-09 14:20:46.388600","train",2,0.4475818872451782,5.4392306444836145e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3040,"2024-08-09 14:21:44.219585","train",2,0.4710428714752197,5.519302405509861e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3080,"2024-08-09 14:22:42.672381","train",2,0.41204923391342163,5.597850121065869e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3120,"2024-08-09 14:23:43.438202","train",2,0.3807964622974396,5.6748100918290874e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3160,"2024-08-09 14:24:45.633568","train",2,0.39040157198905945,5.7501199060798915e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3200,"2024-08-09 14:25:46.191150","train",2,0.423225462436676,5.823718490315187e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3240,"2024-08-09 14:26:40.885117","train",2,0.37838268280029297,5.895546158776795e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3280,"2024-08-09 14:27:41.477608","train",2,0.4027942419052124,5.9655446618544154e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3320,"2024-08-09 14:28:43.886441","train",2,0.3929142951965332,6.033657233323929e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3360,"2024-08-09 14:29:41.792505","train",2,0.5247808694839478,6.09982863638273e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3400,"2024-08-09 14:30:41.357128","train",2,0.5369172692298889,6.164005208444743e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3440,"2024-08-09 14:31:43.740037","train",2,0.39259329438209534,6.226134904658827e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3480,"2024-08-09 14:32:44.218851","train",2,0.4707733392715454,6.286167340115238e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3520,"2024-08-09 14:33:46.148470","train",2,0.39159512519836426,6.34405383070595e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3560,"2024-08-09 14:34:43.171201","train",2,0.37814080715179443,6.39974743260568e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3600,"2024-08-09 14:35:43.811636","train",2,0.4205509424209595,6.453202980341623e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3640,"2024-08-09 14:36:44.189793","train",2,0.4120315611362457,6.504377123420982e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
